filename	label	start_span	end_span	span
es-S0210-56912007000900007-3	ENFERMEDAD	164	166	DM
es-S0210-56912007000900007-3	ENFERMEDAD	362	376	deshidratación
es-S0210-56912007000900007-3	ENFERMEDAD	575	590	hiperamilasemia
es-S0210-56912007000900007-3	ENFERMEDAD	715	733	pancreatitis aguda
es-S0210-56912007000900007-3	ENFERMEDAD	1402	1459	formación polipoidea sésil situada junto al esfínter anal
es-S0210-56912007000900007-3	ENFERMEDAD	1526	1550	adenoma velloso de recto
es-S0210-56912007000900007-3	ENFERMEDAD	1669	1676	adenoma
es-S0210-48062010000100019-3	ENFERMEDAD	43	62	artritis reumatoide
es-S0210-48062010000100019-3	ENFERMEDAD	144	160	íleo suboclusivo
es-S0210-48062010000100019-3	ENFERMEDAD	366	381	coágulo vesical
es-S0210-48062010000100019-3	ENFERMEDAD	759	785	fisura en la pared vesical
es-S0210-48062010000100019-3	ENFERMEDAD	1086	1116	alteración hemodinámica severa
es-S1139-76322014000100010-1	ENFERMEDAD	2008	2047	apéndice cecal con signos inflamatorios
es-S1139-76322014000100010-1	ENFERMEDAD	1259	1277	cuadro obstructivo
es-S1139-76322014000100010-1	ENFERMEDAD	574	587	abdomen agudo
es-S1139-76322014000100010-1	ENFERMEDAD	753	770	apendicitis aguda
es-S1130-05582008000200006-1	ENFERMEDAD	2116	2138	lesión ósea mandibular
es-S1130-05582008000200006-1	ENFERMEDAD	1673	1679	lesión
es-S1130-05582008000200006-1	ENFERMEDAD	251	270	esclerosis tuberosa
es-S1130-05582008000200006-1	ENFERMEDAD	2367	2401	infiltración ósea de la tumoración
es-S1130-05582008000200006-1	ENFERMEDAD	1465	1478	ameloblastoma
es-S1130-05582008000200006-1	ENFERMEDAD	1480	1499	mixoma odontogénico
es-S1130-05582008000200006-1	ENFERMEDAD	353	373	angiomiolipoma renal
es-S1130-05582008000200006-1	ENFERMEDAD	1501	1521	quiste aneurismático
es-S1130-05582008000200006-1	ENFERMEDAD	1523	1544	fibroma condromixoide
es-S1130-05582008000200006-1	ENFERMEDAD	1546	1564	hemangioma central
es-S1130-05582008000200006-1	ENFERMEDAD	1567	1587	granuloma eosinófilo
es-S1130-05582008000200006-1	ENFERMEDAD	431	477	adenoma sebáceo de Pringle a nivel nasogeniano
es-S1130-05582008000200006-1	ENFERMEDAD	2028	2060	recidiva de la lesión mandibular
es-S1130-05582008000200006-1	ENFERMEDAD	479	519	hamartomas retinianos en el fondo de ojo
es-S1130-05582008000200006-1	ENFERMEDAD	2600	2620	fibroma desmoplásico
es-S1130-05582008000200006-1	ENFERMEDAD	522	568	lesiones fibróticas a nivel cervical posterior
es-S1130-05582008000200006-1	ENFERMEDAD	610	647	lesión dura y adherida a la mandíbula
es-S1130-05582008000200006-1	ENFERMEDAD	737	826	piel de la región cervical lateral y en la nuca se observaron múltiples pequeñas lesiones
es-S1130-05582008000200006-1	ENFERMEDAD	928	948	hiperplasia gingival
es-S1130-05582008000200006-1	ENFERMEDAD	1035	1053	crisis epilépticas
es-S1130-05582008000200006-1	ENFERMEDAD	1782	1801	fibromas cervicales
es-S1130-05582008000200006-1	ENFERMEDAD	1266	1301	excrescencia ósea de tipo condroide
es-S1130-05582008000200006-1	ENFERMEDAD	1308	1341	erosión de la cortical mandibular
es-S1130-05582017000200099-1	ENFERMEDAD	50	58	fumadora
es-S1130-05582017000200099-1	ENFERMEDAD	113	136	alergias medicamentosas
es-S1130-05582017000200099-1	ENFERMEDAD	1314	1330	fascitis nodular
es-S1130-05582017000200099-1	ENFERMEDAD	659	665	lesión
es-S1130-05582017000200099-1	ENFERMEDAD	730	736	lesión
es-S0365-66912008000100007-2	ENFERMEDAD	144	170	agenesia de cuerpo calloso
es-S0365-66912008000100007-2	ENFERMEDAD	190	224	anomalías de la migración neuronal
es-S0365-66912008000100007-2	ENFERMEDAD	249	258	epilepsia
es-S0365-66912008000100007-2	ENFERMEDAD	532	586	lagunas coriorretinianas hipopigmentadas peripapilares
es-S0365-66912008000100007-2	ENFERMEDAD	818	858	malformaciones a nivel renal o vertebral
es-S0365-66912008000100007-2	ENFERMEDAD	978	1007	retardo psicomotor muy severo
es-S1137-66272006000500012-1	ENFERMEDAD	2041	2047	dengue
es-S1137-66272006000500012-1	ENFERMEDAD	33	51	fumadora ocasional
es-S1137-66272006000500012-1	ENFERMEDAD	2083	2129	dengue hemorrágico grado 1 inducido por el AAS
es-S1137-66272006000500012-1	ENFERMEDAD	685	757	exantema hemorrágico, simétrico, máculo-papular en tronco y extremidades
es-S1137-66272006000500012-1	ENFERMEDAD	316	338	picaduras de mosquitos
es-S1137-66272006000500012-1	ENFERMEDAD	941	1001	adenopatías latero y retrocervicales así como preauriculares
es-S1137-66272006000500012-1	ENFERMEDAD	1052	1072	hepatoesplenomegalia
es-S1137-66272006000500012-1	ENFERMEDAD	1143	1183	petequias en la fosa antecubital derecha
es-S1130-63432016000100009-1	ENFERMEDAD	98	113	ictus isquémico
es-S1130-63432016000100009-1	ENFERMEDAD	194	225	tromboembolismo venoso profundo
es-S1130-63432016000100009-1	ENFERMEDAD	1029	1045	obesidad extrema
es-S1139-76322015000300009-1	ENFERMEDAD	938	954	daño neurológico
es-S1139-76322015000300009-1	ENFERMEDAD	1966	1985	osteólisis carpiana
es-S1139-76322015000300009-1	ENFERMEDAD	37	130	daño neurológico grave secundario a accidente cerebrovascular agudo (ACV) isquémico perinatal
es-S1139-76322015000300009-1	ENFERMEDAD	1988	2022	lesiones en el escafoides tarsiano
es-S1139-76322015000300009-1	ENFERMEDAD	2132	2219	osteólisis multicéntrica carpotarsal de transmisión autosómica dominante sin nefropatía
es-S1139-76322015000300009-1	ENFERMEDAD	106	109	ACV
es-S1139-76322015000300009-1	ENFERMEDAD	1869	1897	ausencia bilateral del carpo
es-S1139-76322015000300009-1	ENFERMEDAD	1108	1157	hemiplejia izquierda derivada de su ACV perinatal
es-S1139-76322015000300009-1	ENFERMEDAD	1144	1157	ACV perinatal
es-S1139-76322015000300009-1	ENFERMEDAD	403	419	daño neurológico
es-S1139-76322015000300009-1	ENFERMEDAD	486	513	artritis crónica idiopática
es-S1139-76322015000300009-1	ENFERMEDAD	618	646	problema óseo en las muñecas
es-S1139-76322015000300009-1	ENFERMEDAD	747	781	no tiene los huesos de las muñecas
es-S1139-76322015000300009-1	ENFERMEDAD	2132	2204	osteólisis multicéntrica carpotarsal de transmisión autosómica dominante
es-S1139-76322015000300009-1	ENFERMEDAD	1391	1409	rasgos dismórficos
es-S1135-76062016000100006-1	ENFERMEDAD	4023	4046	distorsiones cognitivas
es-S1135-76062016000100006-1	ENFERMEDAD	3080	3112	trastorno límite de personalidad
es-S1135-76062016000100006-1	ENFERMEDAD	2402	2416	retraso mental
es-S1135-76062016000100006-1	ENFERMEDAD	1763	1791	conductas sexuales desviadas
es-S1135-76062016000100006-1	ENFERMEDAD	4352	4375	distorsiones cognitivas
es-S1135-76062016000100006-1	ENFERMEDAD	2746	2771	conductas metasimulativas
es-S1135-76062016000100006-1	ENFERMEDAD	526	544	luxación de hombro
es-S1135-76062016000100006-1	ENFERMEDAD	470	478	lesiones
es-S1135-76062016000100006-1	ENFERMEDAD	1084	1092	lesiones
es-S1135-76062016000100006-1	ENFERMEDAD	4266	4274	lesiones
es-S0212-71992006000700009-1	ENFERMEDAD	89	111	síndrome postflebítico
es-S0212-71992006000700009-1	ENFERMEDAD	234	246	sepsis grave
es-S0212-71992006000700009-1	ENFERMEDAD	285	288	HTA
es-S0212-71992006000700009-1	ENFERMEDAD	290	298	obesidad
es-S0212-71992006000700009-1	ENFERMEDAD	300	308	artrosis
es-S0212-71992006000700009-1	ENFERMEDAD	324	348	adenoma tubular de colón
es-S0212-71992006000700009-1	ENFERMEDAD	404	475	colecistitis litiásica con importante plastrón inflamatorio subhepático
es-S0212-71992006000700009-1	ENFERMEDAD	554	564	TVP de EII
es-S0212-71992006000700009-1	ENFERMEDAD	569	572	TEP
es-S0212-71992006000700009-1	ENFERMEDAD	585	606	fibrilación auricular
es-S0212-71992006000700009-1	ENFERMEDAD	847	867	hipotensión arterial
es-S0212-71992006000700009-1	ENFERMEDAD	1390	1413	sepsis de origen biliar
es-S0212-71992006000700009-1	ENFERMEDAD	1779	1818	endocarditis a nivel subvalvular mitral
es-S0212-71992006000700009-1	ENFERMEDAD	1955	1970	lesión hepática
es-S0212-71992006000700009-1	ENFERMEDAD	1992	2016	dilatación de via biliar
es-S0212-71992006000700009-1	ENFERMEDAD	2141	2145	SDMO
es-S0212-71992006000700009-1	ENFERMEDAD	2236	2267	colangiocarcinoma multicéntrico
es-S0212-71992006000700009-1	ENFERMEDAD	2569	2608	sobreinfección por Enterobacter cloacae
es-S0212-71992006000700009-1	ENFERMEDAD	1152	1161	trombosis
es-S0212-71992006000700009-1	ENFERMEDAD	2713	2727	cuadro séptico
es-S0212-71992006000700009-1	ENFERMEDAD	1692	1700	abscesos
es-S0212-71992006000700009-1	ENFERMEDAD	2310	2377	extensión local al lecho vesicular y a vías biliares extrahepáticas
es-S0212-71992006000700009-1	ENFERMEDAD	2379	2441	metástasis regionales a ganglios linfáticos del hilio hepático
es-S0365-66912006000600010-2	ENFERMEDAD	53	80	pérdida de visión bilateral
es-S0365-66912006000600010-2	ENFERMEDAD	247	256	epilepsia
es-S0365-66912006000600010-2	ENFERMEDAD	397	423	escotoma central bilateral
es-S0365-66912006000600010-2	ENFERMEDAD	460	481	maculopatía bilateral
es-S0365-66912006000600010-2	ENFERMEDAD	570	587	pérdida de visión
es-S0210-48062005000300016-2	ENFERMEDAD	1321	1351	dilatación del tracto urinario
es-S0210-48062005000300016-2	ENFERMEDAD	2481	2520	patología del aparato valvular cardiaco
