CUI,CUI_new
C0097111,C0087111
C0235970,C0553980
C1704628,C0015967
C0029740,C0079240
C0086692C0027651,C0006826
C06778323,C0678323
C175649,C0175649
C0021311,C0009450
C125606,C0125606
C000614,C0006147
C0009951,C0036572
C156562,C0022660
C09449141,C0240059
C0678108,C0021359
C0768896,C0678896
C02733358,C2733358
C0175677,C3263723
C0040116,C0040100
C3875065,C0814476
C001442,C0014442
C0029435,C0158408
C0232858,C0241705
C7016223,C0009429
C007344,C0007344
C21983864,C2193864
C2257551,C1149886
C0079734,C0024299
C0004329,C0040329
008320,C0008320
C01948903,C0194890
C00032801,C0003280
C00232257,C0232257
C0557.36,C0557036
C0259759,C0264912
C1846277,C0151674
C0279038,C0034533
C2248924,C1148565
C0151706,C2979982
C02442856,C0242856
C153057,C1530575
C027627,C0027627
C0010955,C0008972
C0559552,C0014850
xC0004096,C0004096
C009014,C0009014
C22685754,C2268754
C0004513,C0004153
C2004002,C0026771
C0021311,C3714514
C3256884,C0060240
C0036364,C0026264
C00061145,C0006145
C00058213,C0005821
C3333251,C3333250
CC0205653,C0205653
C30732,C0196913
C0749125,C0013221
C0960937,C0940937
C00041582,C0041582
C0176549,C0190086
C00473237,C0473237
C1858735,C3149620
C0028489,C0028429
C00027921,C0002792
C2833052,C0014876
C027740,C0027627
C0001765,C0001675
C0033123,C0012634
13329519,C0043210
C0032305,C1535939
C009566,C0009566
C001384,C0013384
C000983,C0000983
C15184798,C0021852
C00019169,C0019169
C1947984,C1494877
040053,C0040053
C006255,C0006255
C0024554,C0086582
C0011570.,C0011570
C1547188,C0037088
C0542299,C1719101
C1096775,C0008976
C0034619,C1522449
