filename	mention_id	label	start_span	end_span	span	code	semantic_rel	annotation	sentence	Prediction	Predicted_code
196_1	196_1.9	Chemicals & Drugs	160	167	fentayl	C0015846	EXACT	Fentanyl	IONSYS est un dispositif transdermique iontophorétique ( DTI ), qui délivre le principe actif , le chlorhydrate de [fentayl]{Chemicals & Drugs} , dans l	Fentanyl	C0015846
196_1	196_1.14	Disorders	261	268	douleur	C0030193	EXACT	DOULEUR	IONSYS est utilisé pour le contrôle de la [douleur]{Disorders} après une opération chez des patients hospitalisés .	Pain	C0030193
196_1	196_1.17	Living Beings	298	306	patients	C0030705	EXACT	Patients	IONSYS est utilisé pour le contrôle de la douleur après une opération chez des [patients]{Living Beings} hospitalisés .	Patients	C0030705
196_1	196_1.19	Living Beings	361	368	médecin	C0031831	EXACT	Médecins	Le [médecin]{Living Beings} ou un infirmier ( infirmière ) applique le dispositif transdermique sur la peau du patient , sur le thorax ou sur le bras .	Physicians	C0031831
196_1	196_1.20	Living Beings	387	397	infirmière	C0028661	EXACT	Infirmières et infirmiers	Le médecin ou un infirmier ( [infirmière]{Living Beings} ) applique le dispositif transdermique sur la peau du patient , sur le thorax ou sur le bras .	Nurses	C0028661
196_1	196_1.22	Procedures	400	408	applique	C0185125	EXACT	Application	Le médecin ou un infirmier ( infirmière ) [applique]{Procedures} le dispositif transdermique sur la peau du patient , sur le thorax ou sur le bras .	Application procedure	C0185125
196_1	196_1.24	Anatomy	444	448	peau	C1123023	EXACT	Peau	Le médecin ou un infirmier ( infirmière ) applique le dispositif transdermique sur la [peau]{Anatomy} du patient , sur le thorax ou sur le bras .	Skin	C1123023
196_1	196_1.25	Living Beings	452	459	patient	C0030705	EXACT	PATIENT	Le médecin ou un infirmier ( infirmière ) applique le dispositif transdermique sur la peau du [patient]{Living Beings} , sur le thorax ou sur le bras .	Patients	C0030705
196_1	196_1.26	Anatomy	469	475	thorax	C0817096	EXACT	THORAX	Le médecin ou un infirmier ( infirmière ) applique le dispositif transdermique sur la peau du patient , sur le [thorax]{Anatomy} ou sur le bras .	Chest	C0817096
196_1	196_1.28	Disorders	518	525	douleur	C0030193	EXACT	DOULEUR	Lorsqu ’ il ressent la [douleur]{Disorders} , le patient appuie sur un bouton situé sur le dispositif IONSYS pour déclencher l ’ administration d ’ une dose de fentanyl ( 40 microgrammes ).	Pain	C0030193
196_1	196_1.29	Living Beings	531	538	patient	C0030705	EXACT	PATIENT	Lorsqu ’ il ressent la douleur , le [patient]{Living Beings} appuie sur un bouton situé sur le dispositif IONSYS pour déclencher l ’ administration d ’ une dose de fentanyl ( 40 microgrammes ).	Patients	C0030705
196_1	196_1.33	Procedures	611	625	administration	C1533734	EXACT	Administration	Lorsqu ’ il ressent la douleur , le patient appuie sur un bouton situé sur le dispositif IONSYS pour déclencher l ’ [administration]{Procedures} d ’ une dose de fentanyl ( 40 microgrammes ).	Administration procedure	C1533734
196_1	196_1.34	Chemicals & Drugs	642	650	fentanyl	C0015846	EXACT	Fentanyl	Lorsqu ’ il ressent la douleur , le patient appuie sur un bouton situé sur le dispositif IONSYS pour déclencher l ’ administration d ’ une dose de [fentanyl]{Chemicals & Drugs} ( 40 microgrammes ).	Fentanyl	C0015846
196_1	196_1.36	Procedures	691	701	administré	C1533734	EXACT	Administration	IONSYS peut être [administré]{Procedures} jusqu ’ à 6 fois par heure , sans toutefois dépasser 80 doses par période de 24 heures .	Administration procedure	C1533734
196_1	196_1.38	Procedures	870	884	administration	C1533734	EXACT	Administration	Le fonctionnement du système est interrompu au bout de 24 heures suivant l ’ [administration]{Procedures} de la première dose ou lorsque le seuil de 80 doses a été atteint .	Administration procedure	C1533734
196_1	196_1.40	Objects	1004	1013	substance	C0439861	EXACT	SUBSTANCE	C ’ est également une [substance]{Objects} reconnue , utilisée dans le contrôle de la douleur depuis de nombreuses années .	Substance	C0439861
196_1	196_1.42	Disorders	1057	1064	douleur	C0030193	EXACT	DOULEUR	C ’ est également une substance reconnue , utilisée dans le contrôle de la [douleur]{Disorders} depuis de nombreuses années .	Pain	C0030193
196_1	196_1.43	Chemicals & Drugs	1100	1114	principe actif	C1372955	EXACT	Active Ingredient	Le [principe actif]{Chemicals & Drugs} ( fentanyl ) est contenu dans un réservoir .	Active ingredient	C1372955
196_1	196_1.44	Chemicals & Drugs	1117	1125	fentanyl	C0015846	EXACT	Fentanyl	Le principe actif ( [fentanyl]{Chemicals & Drugs} ) est contenu dans un réservoir .	Fentanyl	C0015846
196_1	196_1.46	Living Beings	1173	1180	patient	C0030705	EXACT	PATIENT	Lorsque le [patient]{Living Beings} active IONSYS , un faible courant électrique fait passer une dose de fentanyl du réservoir à travers la peau et dans la circulation sanguine .	Patients	C0030705
196_1	196_1.49	Phenomena	1215	1225	électrique	C0013790	EXACT	Électricité	Lorsque le patient active IONSYS , un faible courant [électrique]{Phenomena} fait passer une dose de fentanyl du réservoir à travers la peau et dans la circulation sanguine .	Electricity	C0013790
196_1	196_1.50	Chemicals & Drugs	1250	1258	fentanyl	C0015846	EXACT	Fentanyl	Lorsque le patient active IONSYS , un faible courant électrique fait passer une dose de [fentanyl]{Chemicals & Drugs} du réservoir à travers la peau et dans la circulation sanguine .	Fentanyl	C0015846
