filename	mention_id	label	start_span	end_span	span	code	semantic_rel	annotation	sentence	Prediction	Predicted_code
1009808	1009808.2	Disorders	4	13	gangrènes	C0017086	EXACT	Gangrène	Les [gangrènes]{Disorders} gazeuses	Gangrene	C0017086
1019393	1019393.1	Disorders	35	53	tuberculose bovine	C0041307	EXACT	Tuberculose bovine	Note concernant les récents cas de [tuberculose bovine]{Disorders} ( Mycobacterium bovis ) observés à l' abattoir de Dakar	Bovine tuberculosis	C0041307
1019393	1019393.2	Disorders	35	46	tuberculose	C0041296	EXACT	Tuberculose	Note concernant les récents cas de [tuberculose]{Disorders} bovine ( Mycobacterium bovis ) observés à l' abattoir de Dakar	Tuberculosis	C0041296
1019393	1019393.4	Living Beings	56	75	Mycobacterium bovis	C0026917	EXACT	MYCOBACTERIUM BOVIS	Note concernant les récents cas de tuberculose bovine ( [Mycobacterium bovis]{Living Beings} ) observés à l' abattoir de Dakar	Mycobacterium bovis	C0026917
1019393	1019393.5	Procedures	78	86	observés	C0302523	EXACT	Observation in research	Note concernant les récents cas de tuberculose bovine ( Mycobacterium bovis ) [observés]{Procedures} à l' abattoir de Dakar	Observation in research	C0302523
1019393	1019393.6	Objects	92	100	abattoir	C0000715	EXACT	Abattoir	Note concernant les récents cas de tuberculose bovine ( Mycobacterium bovis ) observés à l' [abattoir]{Objects} de Dakar	Abattoir	C0000715
1021331	1021331.2	Disorders	0	10	Anévrismes	C0002940	EXACT	Anévrisme	[Anévrismes]{Disorders} athéromateux et mégadolicho-artères coronaires chez l' adulte	Aneurysm	C0002940
1021331	1021331.3	Anatomy	47	57	coronaires	C0018787	EXACT	Coronary	Anévrismes athéromateux et mégadolicho-artères [coronaires]{Anatomy} chez l' adulte	Heart	C0018787
1021331	1021331.4	Living Beings	66	72	adulte	C0001675	EXACT	Adulte	Anévrismes athéromateux et mégadolicho-artères coronaires chez l' [adulte]{Living Beings}	Adult	C0001675
1022781	1022781.1	Disorders	0	21	Pancreatite chronique	C0149521	EXACT	PANCREATITE CHRONIQUE	[Pancreatite chronique]{Disorders} sur pancreas annulaire un cas diagnostiqué par cholangio-wirsungographie endoscopique	Pancreatitis, Chronic	C0149521
1022781	1022781.2	Disorders	0	11	Pancreatite	C0030305	EXACT	PANCREATITE	[Pancreatite]{Disorders} chronique sur pancreas annulaire un cas diagnostiqué par cholangio-wirsungographie endoscopique	Pancreatitis	C0030305
1022781	1022781.3	Disorders	26	44	pancreas annulaire	C0149955	EXACT	Pancreas annulaire	Pancreatite chronique sur [pancreas annulaire]{Disorders} un cas diagnostiqué par cholangio-wirsungographie endoscopique	Annular pancreas	C0149955
